City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,los llanos de aridane,75,ES,1571197132,73,28.66,-17.92,69.8,6.93
171,kahului,40,US,1571197133,61,20.89,-156.47,82.4,18.34
172,dolores,100,UY,1571197134,90,-33.53,-58.22,52.43,11.42
173,dalvik,100,SE,1571197134,100,57.79,14.13,50.0,4.7
174,coquimbo,0,CL,1571197135,88,-29.95,-71.34,55.85,4.48
175,vestmannaeyjar,100,IS,1571197135,92,63.44,-20.27,47.93,19.81
176,bien hoa,20,VN,1571197136,74,10.95,106.82,87.8,4.7
177,constantine,75,DZ,1571197137,77,36.36,6.61,60.8,2.24
178,salalah,20,OM,1571197137,74,17.01,54.1,78.8,3.36
179,tura,100,RU,1571197138,94,64.27,100.22,38.57,9.42
180,sitka,0,US,1571197139,50,37.17,-99.65,46.99,4.0
181,hastings,100,NZ,1571197139,92,-39.64,176.84,55.31,15.44
182,bull savanna,68,JM,1571197139,93,17.89,-77.59,72.59,1.28
183,kruisfontein,0,ZA,1571197139,59,-34.0,24.73,56.39,4.74
184,vao,91,EE,1571197140,88,59.1,26.19,41.45,11.67
185,airai,8,TL,1571197140,30,-8.93,125.41,85.37,8.67
186,kalmunai,100,LK,1571197141,75,7.42,81.82,81.41,6.84
187,narsaq,0,GL,1571197142,58,60.91,-46.05,28.4,3.36
188,westport,1,US,1571197142,76,41.14,-73.36,57.99,4.7
189,mogadishu,75,SO,1571197143,69,2.04,45.34,80.6,8.05
190,cherskiy,100,RU,1571197143,92,68.75,161.3,29.93,21.94
191,port hedland,0,AU,1571197144,30,-20.31,118.58,93.2,11.41
192,cockburn town,9,TC,1571197145,74,21.46,-71.14,83.57,8.76
193,amazar,20,RU,1571197145,54,53.86,120.88,41.09,2.05
194,rafaela,100,AR,1571197145,85,-31.25,-61.49,53.01,4.0
195,rusape,0,ZW,1571197147,88,-18.53,32.12,54.77,7.13
196,voznesenskoye,0,RU,1571197147,87,54.89,42.76,31.37,3.8
197,kununurra,0,AU,1571197148,15,-15.77,128.74,100.4,5.82
198,aykhal,90,RU,1571197149,100,65.95,111.51,33.8,8.95
199,batagay,83,RU,1571197149,79,67.65,134.64,15.71,4.58
200,batemans bay,100,AU,1571197150,75,-35.71,150.18,75.0,1.99
201,yerbogachen,76,RU,1571197151,91,61.28,108.01,39.29,9.26
202,bereda,68,ES,1571197151,87,43.27,-7.54,62.01,21.92
203,ternate,75,PH,1571197152,66,14.29,120.72,87.01,6.93
204,katherine,12,AU,1571197152,16,-14.47,132.26,98.6,9.17
205,portland,1,US,1571197152,75,43.66,-70.25,46.99,10.07
206,barzas,90,RU,1571197153,100,55.72,86.32,44.6,11.18
207,itarema,12,BR,1571197153,83,-2.92,-39.92,77.09,10.4
208,katsuura,40,JP,1571197153,49,33.93,134.5,68.0,13.87
209,daryapur,0,IN,1571197154,68,20.92,77.32,76.55,5.47
210,sangueya,100,GN,1571197154,90,10.7,-14.37,78.17,3.4
211,pirgos,20,GR,1571197155,88,35.12,25.72,66.0,6.93
212,gat,6,SN,1571197155,88,14.69,-16.54,77.0,3.55
213,iqaluit,90,CA,1571197156,86,63.75,-68.52,32.0,5.82
214,cabedelo,20,BR,1571197156,94,-6.97,-34.84,73.4,5.82
215,aksarka,100,RU,1571197157,71,66.56,67.8,25.25,23.27
216,grand forks,90,US,1571197157,100,47.91,-97.06,37.4,10.29
217,vung tau,50,VN,1571197157,59,10.35,107.08,87.17,7.03
218,constitucion,40,MX,1571197158,48,23.99,-104.67,66.2,2.24
219,majene,82,ID,1571197158,61,-3.54,118.97,85.37,7.87
220,salinopolis,80,BR,1571197159,82,-0.61,-47.36,81.23,15.68
221,longyearbyen,20,NO,1571197159,79,78.22,15.63,21.2,5.82
222,mantua,0,IT,1571197159,100,45.16,10.79,57.99,1.12
223,bucerias,40,MX,1571197160,83,20.76,-105.33,86.0,4.7
224,clyde river,90,CA,1571197160,79,70.47,-68.59,26.6,6.93
